date,region,sub_brand,variable,value
2024-07-01,national,dovato,ex_1,0
2024-08-01,national,dovato,ex_1,0
2024-09-01,national,dovato,ex_1,0
2024-10-01,national,dovato,ex_1,0
2024-11-01,national,dovato,ex_1,0
2024-12-01,national,dovato,ex_1,0
2025-01-01,national,dovato,ex_1,0
2025-02-01,national,dovato,ex_1,0
2025-03-01,national,dovato,ex_1,0
2025-04-01,national,dovato,ex_1,1
2025-05-01,national,dovato,ex_1,0
2025-06-01,national,dovato,ex_1,0
2025-07-01,national,dovato,ex_1,0
2025-08-01,national,dovato,ex_1,0
2025-09-01,national,dovato,ex_1,0
2023-01-01,national,dovato,ex_2,0
2023-02-01,national,dovato,ex_2,0
2023-03-01,national,dovato,ex_2,0
2023-04-01,national,dovato,ex_2,0
2023-05-01,national,dovato,ex_2,0
2023-06-01,national,dovato,ex_2,0
2023-07-01,national,dovato,ex_2,0
2023-08-01,national,dovato,ex_2,0
2023-09-01,national,dovato,ex_2,0
2023-10-01,national,dovato,ex_2,1
2023-11-01,national,dovato,ex_2,1
2023-12-01,national,dovato,ex_2,1
2024-01-01,national,dovato,ex_2,1
2024-02-01,national,dovato,ex_2,0
2024-03-01,national,dovato,ex_2,0
2024-04-01,national,dovato,ex_2,0
2024-05-01,national,dovato,ex_2,0
2024-06-01,national,dovato,ex_2,0
2024-07-01,national,dovato,ex_2,0
2024-08-01,national,dovato,ex_2,0
2024-09-01,national,dovato,ex_2,0
2024-10-01,national,dovato,ex_2,0
2024-11-01,national,dovato,ex_2,0
2024-12-01,national,dovato,ex_2,0
2025-01-01,national,dovato,ex_2,0
2025-02-01,national,dovato,ex_2,0
2025-03-01,national,dovato,ex_2,0
2025-04-01,national,dovato,ex_2,0
2025-05-01,national,dovato,ex_2,0
2025-06-01,national,dovato,ex_2,0
2025-07-01,national,dovato,ex_2,0
2025-08-01,national,dovato,ex_2,0
2025-09-01,national,dovato,ex_2,0
2023-01-01,national,dovato,mass_email,11681
2023-02-01,national,dovato,mass_email,13458
2023-03-01,national,dovato,mass_email,12460
2023-04-01,national,dovato,mass_email,19884
2023-05-01,national,dovato,mass_email,12124
2023-06-01,national,dovato,mass_email,13832
2023-07-01,national,dovato,mass_email,19250
2023-08-01,national,dovato,mass_email,18031
2023-09-01,national,dovato,mass_email,15022
2023-10-01,national,dovato,mass_email,11776
2023-11-01,national,dovato,mass_email,15915
2023-12-01,national,dovato,mass_email,13722
2024-01-01,national,dovato,mass_email,11397
2024-02-01,national,dovato,mass_email,10548
2024-03-01,national,dovato,mass_email,17682
2024-04-01,national,dovato,mass_email,15890
2024-05-01,national,dovato,mass_email,14900
2024-06-01,national,dovato,mass_email,15591
2024-07-01,national,dovato,mass_email,14558
2024-08-01,national,dovato,mass_email,22422
2024-09-01,national,dovato,mass_email,14850
2024-10-01,national,dovato,mass_email,12835
2024-11-01,national,dovato,mass_email,11627
2024-12-01,national,dovato,mass_email,11781
2025-01-01,national,dovato,mass_email,13763
2025-02-01,national,dovato,mass_email,13096
2025-03-01,national,dovato,mass_email,14345
2025-04-01,national,dovato,mass_email,15594
2025-05-01,national,dovato,mass_email,16913
2025-06-01,national,dovato,mass_email,11972
2025-07-01,national,dovato,mass_email,14545
2025-08-01,national,dovato,mass_email,13644
2025-09-01,national,dovato,mass_email,13023
2023-01-01,national,dovato,non_clm_call,1681
2023-02-01,national,dovato,non_clm_call,1133
2023-03-01,national,dovato,non_clm_call,1425
2023-04-01,national,dovato,non_clm_call,1888
2023-05-01,national,dovato,non_clm_call,1866
2023-06-01,national,dovato,non_clm_call,1571
2023-07-01,national,dovato,non_clm_call,1878
2023-08-01,national,dovato,non_clm_call,1632
2023-09-01,national,dovato,non_clm_call,1687
2023-10-01,national,dovato,non_clm_call,1780
2023-11-01,national,dovato,non_clm_call,1702
2023-12-01,national,dovato,non_clm_call,1953
2024-01-01,national,dovato,non_clm_call,1802
2024-02-01,national,dovato,non_clm_call,1287
2024-03-01,national,dovato,non_clm_call,1770
2024-04-01,national,dovato,non_clm_call,1846
2024-05-01,national,dovato,non_clm_call,16
2024-06-01,national,dovato,non_clm_call,10
2024-07-01,national,dovato,non_clm_call,14
2024-08-01,national,dovato,non_clm_call,13
2024-09-01,national,dovato,non_clm_call,100
2024-10-01,national,dovato,non_clm_call,1810
2024-11-01,national,dovato,non_clm_call,1785
2024-12-01,national,dovato,non_clm_call,1831
2025-01-01,national,dovato,non_clm_call,1859
2025-02-01,national,dovato,non_clm_call,1555
2025-03-01,national,dovato,non_clm_call,1868
2025-04-01,national,dovato,non_clm_call,1614
2025-05-01,national,dovato,non_clm_call,1128
2025-06-01,national,dovato,non_clm_call,1354
2025-07-01,national,dovato,non_clm_call,1009
2025-08-01,national,dovato,non_clm_call,1888
2025-09-01,national,dovato,non_clm_call,1537
2023-01-01,national,dovato,phone_call,23
2023-02-01,national,dovato,phone_call,28
2023-03-01,national,dovato,phone_call,20
2023-04-01,national,dovato,phone_call,23
2023-05-01,national,dovato,phone_call,11
2023-06-01,national,dovato,phone_call,27
2023-07-01,national,dovato,phone_call,16
2023-08-01,national,dovato,phone_call,12
2023-09-01,national,dovato,phone_call,11
2023-10-01,national,dovato,phone_call,17
2023-11-01,national,dovato,phone_call,18
2023-12-01,national,dovato,phone_call,22
2024-01-01,national,dovato,phone_call,12
2024-02-01,national,dovato,phone_call,24
2024-03-01,national,dovato,phone_call,19
2024-04-01,national,dovato,phone_call,28
2024-05-01,national,dovato,phone_call,13
2024-06-01,national,dovato,phone_call,23
2024-07-01,national,dovato,phone_call,26
2024-08-01,national,dovato,phone_call,574
2024-09-01,national,dovato,phone_call,710
2024-10-01,national,dovato,phone_call,577
2024-11-01,national,dovato,phone_call,800
2024-12-01,national,dovato,phone_call,712
2025-01-01,national,dovato,phone_call,599
2025-02-01,national,dovato,phone_call,585
2025-03-01,national,dovato,phone_call,534
2025-04-01,national,dovato,phone_call,736
2025-05-01,national,dovato,phone_call,544
2025-06-01,national,dovato,phone_call,518
2025-07-01,national,dovato,phone_call,782
2025-08-01,national,dovato,phone_call,605
2025-09-01,national,dovato,phone_call,765
2023-01-01,national,dovato,volume,63049
2023-02-01,national,dovato,volume,58045
2023-03-01,national,dovato,volume,86211
2023-04-01,national,dovato,volume,83049
2023-05-01,national,dovato,volume,100742
2023-06-01,national,dovato,volume,72863
2023-07-01,national,dovato,volume,115414
2023-08-01,national,dovato,volume,63092
2023-09-01,national,dovato,volume,113828
2023-10-01,national,dovato,volume,117049
2023-11-01,national,dovato,volume,67789
2023-12-01,national,dovato,volume,79289
2024-01-01,national,dovato,volume,118989
2024-02-01,national,dovato,volume,112865
2024-03-01,national,dovato,volume,99023
2024-04-01,national,dovato,volume,77905
2024-05-01,national,dovato,volume,77377
2024-06-01,national,dovato,volume,56589
2024-07-01,national,dovato,volume,68658
2024-08-01,national,dovato,volume,54506
2024-09-01,national,dovato,volume,64607
2024-10-01,national,dovato,volume,59102
2024-11-01,national,dovato,volume,98406
2024-12-01,national,dovato,volume,55936
2025-01-01,national,dovato,volume,102315
2025-02-01,national,dovato,volume,78187
2025-03-01,national,dovato,volume,73710
2025-04-01,national,dovato,volume,79966
2025-05-01,national,dovato,volume,69023
2025-06-01,national,dovato,volume,55371
2025-07-01,national,dovato,volume,66293
2025-08-01,national,dovato,volume,57887
2025-09-01,national,dovato,volume,100737
2023-01-01,national,dovato,webinar,48
2023-02-01,national,dovato,webinar,11
2023-03-01,national,dovato,webinar,33
2023-04-01,national,dovato,webinar,28
2023-05-01,national,dovato,webinar,16
2023-06-01,national,dovato,webinar,24
2023-07-01,national,dovato,webinar,40
2023-08-01,national,dovato,webinar,24
2023-09-01,national,dovato,webinar,17
2023-10-01,national,dovato,webinar,23
2023-11-01,national,dovato,webinar,31
2023-12-01,national,dovato,webinar,13
2024-01-01,national,dovato,webinar,46
2024-02-01,national,dovato,webinar,22
2024-03-01,national,dovato,webinar,31
2024-04-01,national,dovato,webinar,39
2024-05-01,national,dovato,webinar,27
2024-06-01,national,dovato,webinar,49
2024-07-01,national,dovato,webinar,14
2024-08-01,national,dovato,webinar,54
2024-09-01,national,dovato,webinar,27
2024-10-01,national,dovato,webinar,59
2024-11-01,national,dovato,webinar,19
2024-12-01,national,dovato,webinar,42
2025-01-01,national,dovato,webinar,58
2025-02-01,national,dovato,webinar,44
2025-03-01,national,dovato,webinar,38
2025-04-01,national,dovato,webinar,38
2025-05-01,national,dovato,webinar,41
2025-06-01,national,dovato,webinar,31
2025-07-01,national,dovato,webinar,55
2025-08-01,national,dovato,webinar,44
2025-09-01,national,dovato,webinar,25
2023-01-01,national,dovato,sales,1260121
2023-02-01,national,dovato,sales,1160900
2023-03-01,national,dovato,sales,1724220
2023-04-01,national,dovato,sales,1660980
2023-05-01,national,dovato,sales,2014840
2023-06-01,national,dovato,sales,1457260
2023-07-01,national,dovato,sales,2308280
2023-08-01,national,dovato,sales,1261840
2023-09-01,national,dovato,sales,2162732
2023-10-01,national,dovato,sales,2223931
2023-11-01,national,dovato,sales,1287991
2023-12-01,national,dovato,sales,1506491
2024-01-01,national,dovato,sales,2260791
2024-02-01,national,dovato,sales,2144435
2024-03-01,national,dovato,sales,2079483
2024-04-01,national,dovato,sales,1636005
2024-05-01,national,dovato,sales,1624917
2024-06-01,national,dovato,sales,1188369
2024-07-01,national,dovato,sales,1441818
2024-08-01,national,dovato,sales,1144626
2024-09-01,national,dovato,sales,1356747
2024-10-01,national,dovato,sales,2077026
2024-11-01,national,dovato,sales,1891371
2024-12-01,national,dovato,sales,2107368
2025-01-01,national,dovato,sales,1075819
2025-02-01,national,dovato,sales,1480915
2025-03-01,national,dovato,sales,1877235
2025-04-01,national,dovato,sales,1633177
2025-05-01,national,dovato,sales,2064119
2025-06-01,national,dovato,sales,1270618
2025-07-01,national,dovato,sales,1007941
2025-08-01,national,dovato,sales,1171092
2025-09-01,national,dovato,sales,1973355
